Name,Devicon Name,Link URL
C,c,https://en.wikipedia.org/wiki/C_(programming_language)
Rust,rust,https://rust-lang.org
Python,python,https://python.org
JavaScript,javascript,https://en.wikipedia.org/wiki/JavaScript
TypeScript,typescript,https://www.typescriptlang.org
HTML,html5,https://en.wikipedia.org/wiki/HTML
CSS,css3,https://en.wikipedia.org/wiki/CSS
Java,java,https://en.wikipedia.org/wiki/Java_%28programming_language%29
Bash,bash,https://en.wikipedia.org/wiki/Bash_(Unix_shell)
LaTeX,latex,https://www.latex-project.org
Git,git,https://git-scm.com
GitHub,github,https://github.com
Linux,linux,https://kernel.org
Debian,debian,https://debian.org
Arch Linux,archlinux,https://archlinux.org
Raspberry Pi,raspberrypi,https://www.raspberrypi.com
Docker,docker,https://docker.com
Nginx,nginx,https://nginx.org
Firebase,firebase,https://firebase.google.com
Svelte,svelte,https://kit.svelte.dev
Tailwind CSS,tailwindcss,https://tailwindcss.com
Neovim,neovim,https://neovim.io
VS Code,vscode,https://vscodium.com
